Cards Suited Num pla. Prob
0 0 0 0 0.0
0 0 0 1 0.0
0 0 0 2 0.5923
0 0 0 3 0.178084
0 0 0 4 0.04053033787500001
0 0 0 5 0.008274187321753598
0 0 0 6 0.0010243461815516266
0 0 0 7 2.0742096650617548E-4
0 0 0 8 4.763226717972588E-5
0 0 0 9 8.277676323046294E-6
0 0 0 10 1.8510934781399068E-6
0 0 1 0 0.0
0 0 1 1 0.0
0 0 1 2 0.0
0 0 1 3 0.0
0 0 1 4 0.0
0 0 1 5 0.0
0 0 1 6 0.0
0 0 1 7 0.0
0 0 1 8 0.0
0 0 1 9 0.0
0 0 1 10 0.0
0 1 0 0 0.0
0 1 0 1 0.0
0 1 0 2 0.3795
0 1 0 3 0.06290064000000001
0 1 0 4 0.005053029696
0 1 0 5 3.919010163200999E-4
0 1 0 6 1.6325916171457425E-5
0 1 0 7 5.567288437030255E-7
0 1 0 8 2.0427172189625805E-8
0 1 0 9 2.2960778569564156E-9
0 1 0 10 5.39814661157342E-11
0 1 1 0 0.0
0 1 1 1 0.0
0 1 1 2 0.4234
0 1 1 3 0.07912969
0 1 1 4 0.011466731375
0 1 1 5 0.0013420470252815996
0 1 1 6 1.2119033775593011E-4
0 1 1 7 1.0297981845947263E-5
0 1 1 8 7.400249944258159E-7
0 1 1 9 5.998718432788191E-8
0 1 1 10 5.6852191180777226E-9
0 2 0 0 0.0
0 2 0 1 0.0
0 2 0 2 0.3858
0 2 0 3 0.067081
0 2 0 4 0.005725732069000001
0 2 0 5 4.863017300624999E-4
0 2 0 6 2.5617476736228072E-5
0 2 0 7 6.811096450432433E-7
0 2 0 8 5.663911351299082E-8
0 2 0 9 3.020127039491442E-9
0 2 0 10 7.783138985156717E-11
0 2 1 0 0.0
0 2 1 1 0.0
0 2 1 2 0.4216
0 2 1 3 0.088209
0 2 1 4 0.013362669117000002
0 2 1 5 0.0013760212194576
0 2 1 6 1.330331217882237E-4
0 2 1 7 1.0509215371263997E-5
0 2 1 8 1.086168602872436E-6
0 2 1 9 1.0395332545450015E-7
0 2 1 10 7.504396759418026E-9
0 3 0 0 0.0
0 3 0 1 0.0
0 3 0 2 0.3975
0 3 0 3 0.06677056
0 3 0 4 0.007868724669
0 3 0 5 4.4449457564159996E-4
0 3 0 6 2.5723773174087685E-5
0 3 0 7 1.093443263942641E-6
0 3 0 8 5.5361593189254175E-8
0 3 0 9 1.6777216000000004E-9
0 3 0 10 8.163246588499352E-11
0 3 1 0 0.0
0 3 1 1 0.0
0 3 1 2 0.4351
0 3 1 3 0.09498723999999999
0 3 1 4 0.014260515625
0 3 1 5 0.0015431729448975996
0 3 1 6 1.8070669798375425E-4
0 3 1 7 1.5090903786212761E-5
0 3 1 8 1.0700490781461253E-6
0 3 1 9 8.411706160149593E-8
0 3 1 10 5.899641129712948E-9
0 4 0 0 0.0
0 4 0 1 0.0
0 4 0 2 0.3941
0 4 0 3 0.06487209
0 4 0 4 0.007033743295999999
0 4 0 5 4.7590687778409997E-4
0 4 0 6 2.3465155963581757E-5
0 4 0 7 1.1129782260114203E-6
0 4 0 8 4.388461845082791E-8
0 4 0 9 8.517236619810627E-10
0 4 0 10 4.64329639230164E-11
0 4 1 0 0.0
0 4 1 1 0.0
0 4 1 2 0.4372
0 4 1 3 0.08702499999999999
0 4 1 4 0.013447314152000001
0 4 1 5 0.0013197497402895999
0 4 1 6 1.3583119642053128E-4
0 4 1 7 1.1574094328649222E-5
0 4 1 8 8.829346479175293E-7
0 4 1 9 7.764260700680907E-8
0 4 1 10 5.6014090442646015E-9
0 5 0 0 0.0
0 5 0 1 0.0
0 5 0 2 0.3934
0 5 0 3 0.057840249999999996
0 5 0 4 0.006476460544000001
0 5 0 5 4.0773342160810007E-4
0 5 0 6 1.794037663130624E-5
0 5 0 7 7.8766278378855E-7
0 5 0 8 2.6908018267762306E-8
0 5 0 9 4.158667366315581E-10
0 5 0 10 1.8527433051169723E-11
0 5 1 0 0.0
0 5 1 1 0.0
0 5 1 2 0.4259
0 5 1 3 0.08803089000000001
0 5 1 4 0.012698260037000001
0 5 1 5 0.0012598637895936003
0 5 1 6 1.0784008474947045E-4
0 5 1 7 1.0297981845947263E-5
0 5 1 8 8.649816143968067E-7
0 5 1 9 6.983634120239411E-8
